   s^              X11A                    X12A                    Y11A                    Y12A                    Y11B                    Y12B                    X11C                    X12C                    Y11C                    Y12C                    X11G                    X12G                    Y11G                    Y12G                    Y11H                    Y12H                    X11M                    X12M                    Y11M                    Y12M                    Z11M                    Z12M
  2.1000000E+00   4.030296541782993E+00  -3.379482318355164E+00   1.392992066770945E+00  -6.598618085533069E-01  -2.629909400914012E-01   4.114151707653375E-01   1.370791120849981E+00  -1.554526477778052E-01   1.644014775624642E+00   1.356478702216639E-01   2.761240491726451E+00  -2.939200988291590E+00   1.178737712614582E-01  -1.409529305689602E-01   5.023270234589524E-03   2.906905678796450E-01   2.858390723137561E+00   1.903945964937235E+00   1.312362363592484E+00  -1.136234817400375E-01   1.124642332005300E+00  -5.671558600494156E-02
  2.2000000E+00   2.641047867206646E+00  -1.984493553948937E+00   1.288037641562626E+00  -5.467509458298403E-01  -1.745810992376476E-01   3.138228947966555E-01   1.358325721807614E+00  -1.310351517277011E-01   1.519742583659632E+00   9.901466323213505E-02   1.393912392162145E+00  -1.567262892788939E+00   7.439470392671149E-02  -9.503349879054905E-02  -2.539139318991333E-03   2.122729234572515E-01   1.954105675379679E+00   9.976128844578906E-01   1.238272046943272E+00  -1.129470164602446E-01   1.119424749343813E+00  -4.385894714039960E-02
  2.3000000E+00   2.146620096412669E+00  -1.484513293538570E+00   1.230656757245994E+00  -4.815397317187377E-01  -1.298256929229776E-01   2.604839719017463E-01   1.350832483615271E+00  -1.127795299397936E-01   1.460793104140265E+00   7.900665395806890E-02   9.178862620378108E-01  -1.086576934116009E+00   5.270949806636085E-02  -7.114853835139738E-02  -4.389025132787932E-03   1.695373510087266E-01   1.642759918182400E+00   6.821438997482212E-01   1.200635093041200E+00  -1.078263543968744E-01   1.116574884918964E+00  -3.477932121787588E-02
  2.4000000E+00   1.886075323406135E+00  -1.218515557914554E+00   1.192554111205702E+00  -4.359373133542520E-01  -1.019384139346096E-01   2.246066439880926E-01   1.345978787641632E+00  -9.830803607096440E-02   1.426163745109661E+00   6.554906689180377E-02   6.727726253749832E-01  -8.367848143559399E-01   3.942802374266088E-02  -5.589716931525551E-02  -4.637299938184668E-03   1.410200101811204E-01   1.484684809345447E+00   5.188401696803264E-01   1.177341161483255E+00  -1.017399455263662E-01   1.114847225848002E+00  -2.799425960337857E-02
  2.5000000E+00   1.722667096662148E+00  -1.049751582896982E+00   1.164864687841848E+00  -4.010789130179473E-01  -8.276603180013940E-02   1.980204678660812E-01   1.342687441591723E+00  -8.646229576472053E-02   1.403650411948138E+00   5.562052620231386E-02   5.227253921167357E-01  -6.820516702051345E-01   3.047631505171469E-02  -4.519064641606054E-02  -4.337215627919350E-03   1.201376868830386E-01   1.389539606793560E+00   4.178251271981700E-01   1.161566337731389E+00  -9.551360932289225E-02   1.113737127307085E+00  -2.278239453224318E-02
  2.6000000E+00   1.609529880705922E+00  -9.313536525721799E-01   1.143646367630104E+00  -3.730182137510272E-01  -6.878356486273721E-02   1.771743766856299E-01   1.340383462243223E+00  -7.657194603321567E-02   1.388093154380265E+00   4.791104417340616E-02   4.213946485986179E-01  -5.760389204564612E-01   2.409377977972975E-02  -3.725075539697258E-02  -3.859917512812491E-03   1.040041261384377E-01   1.326529032469659E+00   3.485797969219042E-01   1.150319975216578E+00  -8.942744079706950E-02   1.112995726562366E+00  -1.870945754373348E-02
  2.7000000E+00   1.526051134351389E+00  -8.427071269200445E-01   1.126802408563779E+00  -3.496505914148769E-01  -5.816900513122322E-02   1.602142943064025E-01   1.338731099009241E+00  -6.820141583479260E-02   1.376885982356130E+00   4.172968165694584E-02   3.484978716804057E-01  -4.984764021291308E-01   1.937036231230094E-02  -3.114855311413128E-02  -3.353064082421243E-03   9.109738549371978E-02   1.282183854702742E+00   2.978232493416557E-01   1.142032988882317E+00  -8.359497370034227E-02   1.112486503854030E+00  -1.548630376974480E-02
  2.8000000E+00   1.461668148074440E+00  -7.732475192562582E-01   1.113086701848732E+00  -3.297192735277412E-01  -4.987086308498469E-02   1.460534579799118E-01   1.337522520242758E+00  -6.104521192578968E-02   1.368560895690636E+00   3.666363484949747E-02   2.936986168590078E-01  -4.390417646114111E-01   1.578043581905120E-02  -2.633953015705440E-02  -2.876343280792648E-03   8.051659318323844E-02   1.249640067757650E+00   2.588302245840200E-01   1.135784618379003E+00  -7.806623184177414E-02   1.112129125393583E+00  -1.290960942550753E-02
  2.9000000E+00   1.410373259519942E+00  -7.169659597602510E-01   1.101700272265259E+00  -3.124127209295500E-01  -4.323488482440171E-02   1.340013337630230E-01   1.336623708381533E+00  -5.487787962823993E-02   1.362227155224254E+00   3.244434286566732E-02   2.511518960392118E-01  -3.919056463076903E-01   1.299649019318532E-02  -2.247815231904256E-02  -2.451457525193195E-03   7.168423201121772E-02   1.225015793730783E+00   2.278240465178638E-01   1.130992095336351E+00  -7.286224409618414E-02   1.111873899565599E+00  -1.083166327462977E-02
  3.0000000E+00   1.368479602086469E+00  -6.701750418364316E-01   1.092101753262898E+00  -2.971758580078490E-01  -3.783098948215266E-02   1.235920937167310E-01   1.335945538962113E+00  -4.952713686572754E-02   1.357314286756516E+00   2.888622002358167E-02   2.172921918202928E-01  -3.535187823927023E-01   1.080295112490124E-02  -1.933216815217531E-02  -2.083142957735555E-03   6.420779745788478E-02   1.205943771530857E+00   2.025166341830963E-01   1.127266450955344E+00  -6.798850749905593E-02   1.111688931208554E+00  -9.142833024569173E-03
  3.1000000E+00   1.333589412144079E+00  -6.304770651255024E-01   1.083908622044787E+00  -2.836119038052960E-01  -3.336430155602538E-02   1.144966279698102E-01   1.335427264972345E+00  -4.485804428132572E-02   1.353441565886157E+00   2.585527167851212E-02   1.898151437801079E-01  -3.215925915863023E-01   9.051956743948273E-03  -1.673860838067901E-02  -1.768711060190648E-03   5.780836846931762E-02   1.190896183271828E+00   1.814379275494523E-01   1.124337943603751E+00  -6.344115762271771E-02   1.111553160281890E+00  -7.760479271537887E-03
  3.2000000E+00   1.304070285108731E+00  -5.962401282467061E-01   1.076841559287637E+00  -2.714271759567182E-01  -2.962576582797665E-02   1.064737205618206E-01   1.335026622937877E+00  -4.076296925529108E-02   1.350346489492566E+00   2.325153955826357E-02   1.671622659975919E-01  -2.945829677256468E-01   7.638811603318544E-03  -1.457928916542122E-02  -1.502548170637844E-03   5.228068673197416E-02   1.178842829410316E+00   1.635977402670780E-01   1.122014151194044E+00  -5.921034235670786E-02   1.111452365752508E+00  -6.621546822721734E-03
  3.3000000E+00   1.278768979506530E+00  -5.663117381145020E-01   1.070691137818566E+00  -2.603980953735430E-01  -2.646305910479501E-02   9.934123136002226E-02   1.334713685961674E+00  -3.715485069515339E-02   1.347843199994886E+00   2.099856852250815E-02   1.482402836480182E-01  -2.714090076456451E-01   6.487495743116425E-03  -1.276626662699474E-02  -1.278249681572223E-03   4.746941576768954E-02   1.169064597024731E+00   1.483025327161445E-01   1.120154824539773E+00  -5.528236613675627E-02   1.111376766625561E+00  -5.677430414379389E-03
  3.4000000E+00   1.256845518531684E+00  -5.398527308193053E-01   1.065296881770732E+00  -2.503504601242742E-01  -2.376262748683546E-02   9.295821216337302E-02   1.334466932236147E+00  -3.396247653298775E-02   1.345797162568809E+00   1.903671934688313E-02   1.322589397313527E-01  -2.512905232199099E-01   5.541675240404425E-03  -1.123273667548266E-02  -1.089601574861856E-03   4.325429323168411E-02   1.161045336468129E+00   1.350502770029542E-01   1.118655998780421E+00  -5.164118375182340E-02   1.111319530366646E+00  -4.890327118958615E-03
  3.5000000E+00   1.237672247599811E+00  -5.162361846049736E-01   1.060533565082198E+00  -2.411458819239608E-01  -2.143815660823245E-02   8.721333592273743E-02   1.334270669404193E+00  -3.112705889690598E-02   1.344109143064725E+00   1.731872566951293E-02   1.186325839880901E-01  -2.336495824876155E-01   4.758895980755898E-03  -9.927092482261791E-03  -9.309912347028825E-04   3.954044845800189E-02   1.154406009664858E+00   1.234672257194121E-01   1.117439540308343E+00  -4.826948110663366E-02   1.111275819269054E+00  -4.230597760575500E-03
  3.6000000E+00   1.220769871164071E+00  -4.949833539542342E-01   1.056301942969324E+00  -2.326725991530345E-01  -1.942292798558898E-02   8.201714133437017E-02   1.334113312267572E+00  -2.859968458490629E-02   1.342704744982996E+00   1.580663149089806E-02   1.069179721061424E-01  -2.180484281185362E-01   4.106706952698282E-03  -8.808904563707400E-03  -7.975372180998902E-04   3.625186103347244E-02   1.148862904828862E+00   1.132683439220638E-01   1.116446048637360E+00  -4.514945988323071E-02   1.111242166788869E+00  -3.674831321617195E-03
  3.7000000E+00   1.205765498856230E+00  -4.757216516409208E-01   1.052522303307860E+00  -2.248390692411307E-01  -1.766461044500908E-02   7.729667446013049E-02   1.333986210363314E+00  -2.633937772890817E-02   1.341527391827311E+00   1.446961629386494E-02   9.677356277950648E-02  -2.041489914907819E-01   3.559999633835563E-03  -7.846120812920437E-03  -6.850851076412133E-04   3.332680560455682E-02   1.144200196711959E+00   1.042316866693966E-01   1.115629914659018E+00  -4.226339811766060E-02   1.111216061921941E+00  -3.204408611271567E-03
  3.8000000E+00   1.192364297748231E+00  -4.581562685532206E-01   1.049129870923175E+00  -2.175693854864037E-01  -1.612162563834387E-02   7.299168753768744E-02   1.333882837107819E+00  -2.431160323215703E-02   1.340533511349618E+00   1.328241226308503E-02   8.793207602226906E-02  -1.916857139720689E-01   3.099139434453228E-03  -7.013068173490281E-03  -5.901445845003680E-04   3.071459587470184E-02   1.140251398140269E+00   9.618130055350388E-02   1.114955810810985E+00  -3.959403901391192E-02   1.111195667745289E+00  -2.804425806165976E-03
  3.9000000E+00   1.180329836337063E+00  -4.420505091106423E-01   1.046071463810220E+00  -2.107999262961859E-01  -1.476055879295239E-02   6.905187941520022E-02   1.333798220958916E+00  -2.248709505191733E-02   1.339689164487776E+00   1.222412880201346E-02   8.018150748473107E-02  -1.804468351029932E-01   2.708627581598398E-03  -6.288996954120780E-03  -5.098057082365092E-04   2.837320390958227E-02   1.136886509235327E+00   8.897550370187840E-02   1.114396157319602E+00  -3.712484898390932E-02   1.111179628132320E+00  -2.462880551505626E-03
  4.0000000E+00   1.169470142282521E+00  -4.272118572134348E-01   1.043303015933489E+00  -2.044768580551130E-01  -1.355428001042899E-02   6.543485096192068E-02   1.333728541165234E+00  -2.084092846668419E-02   1.338967644055451E+00   1.127736453182029E-02   7.335169304829460E-02  -1.702612202973066E-01   2.376126760306941E-03  -5.657001859588518E-03  -4.416530063171657E-04   2.626748474113103E-02   1.134002924014424E+00   8.249865646980364E-02   1.113929268064530E+00  -3.484017759504388E-02   1.111166933362227E+00  -2.170051618423424E-03
  4.1000000E+00   1.159627612325774E+00  -4.134819053173022E-01   1.040787712690008E+00  -1.985542424362592E-01  -1.248055871689423E-02   6.210456263991816E-02   1.333670837059459E+00  -1.935177847170097E-02   1.338347737526324E+00   1.042752665558513E-02   6.730461042700570E-02  -1.609889027965376E-01   2.091741326681486E-03  -5.103210253362616E-03  -3.836858586892668E-04   2.436782932650274E-02   1.131518877005022E+00   7.665525571688764E-02   1.113537977971850E+00  -3.272534529882055E-02   1.111156825626562E+00  -1.918022561182436E-03
