'D'-form resistance scalars, generated 28/03/2022 11:08:27
             s'          lambda           gamma              XA              YA              YB              XC              YC              XG              YG              YH              XM              YM              ZM 
 3.40000000e+00  1.00000000e+00  1.00000000e+00 -6.70373447e-03 -3.58705176e-04  1.92232310e-04 -1.68984598e-05 -8.44252547e-05 -6.04566874e-03 -8.57172194e-05  2.25840537e-04  3.22607973e-03 -3.56222415e-04  7.14023282e-07
 3.50000000e+00  1.00000000e+00  0.00000000e+00  6.21897250e-03  6.23297663e-04 -7.09778772e-05  2.11619922e-04  7.10317546e-04  6.49695018e-03  5.04940573e-04 -5.15256546e-04  4.85537213e-03  1.78935914e-03  1.48596385e-04
 3.50000000e+00  1.00000000e+00  1.00000000e+00 -5.25490393e-03 -2.85554055e-04  1.43215952e-04 -1.19790256e-05 -6.28938363e-05 -4.64259072e-03 -6.98909428e-05  1.66533943e-04  2.40946684e-03 -2.61648787e-04  5.04890490e-07
 3.60000000e+00  1.00000000e+00  0.00000000e+00  5.02435615e-03  5.20101971e-04 -4.69822205e-05  1.67172538e-04  5.58309848e-04  5.20063797e-03  4.20147043e-04 -4.14642314e-04  3.84627034e-03  1.44602505e-03  1.18899495e-04
 3.60000000e+00  1.00000000e+00  1.00000000e+00 -4.16093472e-03 -2.29544134e-04  1.07798871e-04 -8.58934036e-06 -4.72290888e-05 -3.60041112e-03 -5.74150124e-05  1.24023485e-04  1.81770912e-03 -1.93722291e-04  3.58150382e-07
 3.70000000e+00  1.00000000e+00  0.00000000e+00  4.09786261e-03  4.36937487e-04 -3.05271900e-05  1.33003515e-04  4.42335128e-04  4.19950899e-03  3.51204393e-04 -3.35520863e-04  3.07056462e-03  1.17469990e-03  9.57080044e-05
 3.70000000e+00  1.00000000e+00  1.00000000e+00 -3.32483341e-03 -1.86133816e-04  8.19135936e-05 -6.22457217e-06 -3.57401735e-05 -2.81737181e-03 -4.74594483e-05  9.32224730e-05  1.38403611e-03 -1.44523709e-04  2.55218024e-07
 3.80000000e+00  1.00000000e+00  0.00000000e+00  3.37098767e-03  3.69312866e-04 -1.92248397e-05  1.06526527e-04  3.53036143e-04  3.41808238e-03  2.94843812e-04 -2.72926490e-04  2.46874686e-03  9.59046614e-04  7.74774320e-05
 3.80000000e+00  1.00000000e+00  1.00000000e+00 -2.67888960e-03 -1.52121689e-04  6.27946823e-05 -4.55572923e-06 -2.72472394e-05 -2.22293349e-03 -3.94377561e-05  7.06805773e-05  1.06293603e-03 -1.08610960e-04  1.82850139e-07
 3.90000000e+00  1.00000000e+00  0.00000000e+00  2.79473785e-03  3.13884779e-04 -1.14686918e-05  8.58567968e-05  2.83694133e-04  2.80224817e-03  2.48538123e-04 -2.23123330e-04  1.99790546e-03  7.86707963e-04  6.30572610e-05
 3.90000000e+00  1.00000000e+00  1.00000000e+00 -2.17493653e-03 -1.25212258e-04  4.85352551e-05 -3.36531672e-06 -2.09208201e-05 -1.76737815e-03 -3.29233561e-05  5.40276505e-05  8.22908879e-04 -8.21917390e-05  1.31773726e-07
 4.00000000e+00  1.00000000e+00  0.00000000e+00  2.33347900e-03  2.68127926e-04 -6.16707104e-06  6.96075063e-05  2.29426909e-04  2.31261504e-03  2.10316164e-04 -1.83281150e-04  1.62668148e-03  6.48270459e-04  5.15836823e-05
 4.00000000e+00  1.00000000e+00  1.00000000e+00 -1.77812560e-03 -1.03734223e-04  3.78034514e-05 -2.50762826e-06 -1.61732882e-05 -1.41512673e-03 -2.75984901e-05  4.16164049e-05  6.41880247e-04 -6.26137451e-05  9.55489046e-08
