                  lambda                      s^                    X11A                    X12A                    Y11A                    Y12A                    Y11B                    Y12B                    X11C                    X12C                    Y11C                    Y12C                    X11G                    X12G                    Y11G                    Y12G                    Y11H                    Y12H                    X11M                    X12M                    Y11M                    Y12M                    Z11M                    Z12M
   1.000000000000000E+00   8.999999999999999E-01   8.267741505194463E+00  -4.115584506803003E+00   6.596156263940446E+00  -1.865654480810454E+00  -2.522991785575700E-01   7.959598738836334E-01   8.013472020577648E+00  -3.285691098682869E-01   8.139095933767971E+00   1.958914416314069E-01   1.233578224708352E+00  -2.130764289637361E+00   5.964653825488216E-02  -1.304994168939454E-01  -8.935564375572826E-03   3.730897594188968E-01   7.123751190858954E+00   1.010086153368887E+00   6.757341528101887E+00  -5.923868322130056E-01   6.667300580234347E+00  -6.501147819885027E-02
   1.000000000000000E+00   1.000000000000000E+00   8.067869546679903E+00  -3.885882035517746E+00   6.541716244081375E+00  -1.776581425353926E+00  -2.221649716466556E-01   7.359572708865814E-01   8.010989010989009E+00  -2.967032967032966E-01   8.118420093279594E+00   1.742489565548498E-01   1.100120439319012E+00  -1.961879004428541E+00   5.048066095134059E-02  -1.127742461079873E-01  -7.868675474557036E-03   3.383798353544709E-01   7.066527500555495E+00   9.332908659921724E-01   6.741560932090481E+00  -5.399751703606781E-01   6.667118299602000E+00  -5.487340164281482E-02
   1.000000000000000E+00   1.100000000000000E+00   7.894280222364229E+00  -3.682925283834810E+00   6.494853766368882E+00  -1.696824302911472E+00  -1.968753429641975E-01   6.830250082712341E-01   8.009024215207967E+00  -2.688403952605808E-01   8.101469974097867E+00   1.558363889689831E-01   9.846358416887856E-01  -1.812799351444631E+00   4.297663216785634E-02  -9.801437267553285E-02  -6.892816759937184E-03   3.079055452471901E-01   7.017243365468666E+00   8.625444575599810E-01   6.728884755850579E+00  -4.934407463914263E-01   6.666992033281716E+00  -4.657484976261932E-02
   1.000000000000000E+00   1.200000000000000E+00   7.742570316913556E+00  -3.502355745913478E+00   6.454164975654269E+00  -1.624870523570132E+00  -1.754575776218445E-01   6.360057992188907E-01   8.007457525959198E+00  -2.443682106310790E-01   8.087462497315439E+00   1.400420944359535E-01   8.844156373368284E-01  -1.680670526742210E+00   3.678617226898361E-02  -8.563082841350089E-02  -6.019932932174009E-03   2.810205856743863E-01   6.974815352778904E+00   7.977124016847856E-01   6.718634494214744E+00  -4.520007710157567E-01   6.666903522660070E+00  -3.973784162199538E-02
   1.000000000000000E+00   1.300000000000000E+00   7.609185287069251E+00  -3.340651728930487E+00   6.418566862891174E+00  -1.559533086507948E+00  -1.571710102424597E-01   5.939859048084186E-01   8.006199301487658E+00  -2.227842975620574E-01   8.075801938920458E+00   1.263951361236608E-01   7.971494695166216E-01  -1.563065045873970E+00   3.164424364307857E-02  -7.517016376605699E-02  -5.249844881212650E-03   2.571989794690918E-01   6.938261870454106E+00   7.384734565189315E-01   6.710294413804871E+00  -4.149906332742129E-01   6.666840783466327E+00  -3.407064691271313E-02
   1.000000000000000E+00   1.400000000000000E+00   7.491246856381985E+00  -3.194958426483939E+00   6.387211103005131E+00  -1.499865413767137E+00  -1.414435024489627E-01   5.562330147508161E-01   8.005182003573177E+00  -2.036734684401887E-01   8.066029735430337E+00   1.145273125085043E-01   7.208892923846479E-01  -1.457936784823705E+00   2.734659227737001E-02  -6.627897759385352E-02  -4.576302304210021E-03   2.360082064641782E-01   6.906720910338937E+00   6.844219243706992E-01   6.703469055949708E+00  -3.818446164236970E-01   6.666795844494349E+00  -2.934624686013427E-02
   1.000000000000000E+00   1.500000000000000E+00   7.386413165522419E+00  -3.062949939713024E+00   6.359424180758337E+00  -1.445101887325716E+00  -1.278273835405602E-01   5.221524919045035E-01   8.004354296891609E+00  -1.866904792277926E-01   8.057789168344620E+00   1.041468582316741E-01   6.540015461567193E-01  -1.363566976050697E+00   2.373406320796256E-02  -5.867884939076923E-02  -3.990371216156546E-03   2.170893974644822E-01   6.879449152548862E+00   6.351253120108379E-01   6.697852743004804E+00  -3.520797635131795E-01   6.666763337304986E+00  -2.538661590929488E-02
   1.000000000000000E+00   1.600000000000000E+00   7.292767870579585E+00  -2.942719824597091E+00   6.334664911528427E+00  -1.394615428382177E+00  -1.159683004213690E-01   4.912558888924279E-01   8.003676838380214E+00  -1.715465714673400E-01   8.050800094440733E+00   9.501982847949832E-02   5.951190006157101E-01  -1.278512155814950E+00   2.068142946095874E-02  -5.214830129241800E-02  -3.482299696872171E-03   2.001424546262023E-01   6.855812502865998E+00   5.901560478167465E-01   6.693207435568833E+00  -3.252824813063009E-01   6.666739603764041E+00  -2.205113683314136E-02
   1.000000000000000E+00   1.700000000000000E+00   7.208733118767356E+00  -2.832695213895672E+00   6.312493740108888E+00  -1.347886645561867E+00  -1.055828149789444E-01   4.631378613212844E-01   8.003119241090170E+00  -1.579989189404412E-01   8.044840594571696E+00   8.695666415358290E-02   5.430969958118360E-01  -1.201557945819825E+00   1.808929916166915E-02  -4.650961124242963E-02  -3.042511102620922E-03   1.849146877515739E-01   6.835273405781866E+00   5.491081088828821E-01   6.689346481701974E+00  -3.010974503096396E-01   6.666722123504750E+00  -1.922798297623757E-02
   1.000000000000000E+00   1.800000000000000E+00   7.133001516195043E+00  -2.731569706909697E+00   6.292550180256617E+00  -1.304481004513695E+00  -9.644204304487723E-02   4.374589483443020E-01   8.002657863482604E+00  -1.458422850175427E-01   8.039733470485798E+00   7.980232673030670E-02   4.969756077489888E-01  -1.131679667560791E+00   1.587816492598822E-02  -4.161903627280408E-02  -2.662097971193238E-03   1.711920108906294E-01   6.817377657208233E+00   5.116049063020801E-01   6.686122575064573E+00  -2.792184462694050E-01   6.666709141876511E+00  -1.682765193828202E-02
   1.000000000000000E+00   1.900000000000000E+00   7.064482929502222E+00  -2.638250922291246E+00   6.274535986260718E+00  -1.264031666521597E+00  -8.835953827007099E-02   4.139325317114783E-01   8.002274184972961E+00  -1.349023784111829E-01   8.035336191202997E+00   7.342894115046070E-02   4.559477969132286E-01  -1.068009512559365E+00   1.398397090215684E-02  -3.735947253599872E-02  -2.333033017982427E-03   1.587920366870783E-01   6.801742014362080E+00   4.773021604895670E-01   6.683418753124992E+00  -2.593807339079666E-01   6.666699425226158E+00  -1.477807395159286E-02
